"Date","AQS_SITE_ID","POC","Daily Mean Pb Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"10/12/2012","040078000","1","0.027","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"10/18/2012","040078000","1","0.041","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"10/24/2012","040078000","1","0.064","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"10/30/2012","040078000","1","0.034","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"11/05/2012","040078000","1","0.037","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"11/11/2012","040078000","1","0.008","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"11/17/2012","040078000","1","0.008","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"11/23/2012","040078000","1","0.014","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"11/29/2012","040078000","1","0.018","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"12/05/2012","040078000","1","0.006","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"12/11/2012","040078000","1","0.011","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"12/17/2012","040078000","1","0.027","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"12/23/2012","040078000","1","0.012","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"12/29/2012","040078000","1","0.004","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
