"Month";"??ey";"Akureyri";"Dalatangi";"Gr?mssta?ir";"Keflav?k airport";"Kirkjub?jarklaustur";"Reykjav?k";"St?rh?f?i Westman Islands";"Stykkish?lmur"
"1959-04";5.2;6.1;15.7;6.1;7.2;21.3;12.1;20.2;9.7
"1959-05";7.9;3.8;26.8;5.4;15.7;30.2;9.1;57.2;12.4
"1959-06";13.3;13.7;10.1;10.8;15;38.1;16.6;22.5;9
"1959-07";6.1;9.4;38.4;7.5;11.6;40.6;18.8;40.8;20.5
"1959-08";7.6;10.6;41.1;15;21.8;40.8;34.6;50.8;20.1
"1959-09";12.3;6.9;52.1;4.9;54.1;43.4;49.2;44.9;30
"1959-10";16;12.8;21.8;3;26.7;56.5;19.9;40.4;30.1
"1959-11";25;16.2;25.6;7.3;12.4;32.5;10.5;26.1;10.7
"1959-12";11.3;17.3;32.8;5.1;14.2;26.7;12.5;28.4;10.1
"1960-01";11.3;5.5;15.5;5;13.6;22;11.3;29.6;13.7
"1960-02";19;6.5;22.5;10.6;21.7;59.7;18.4;13;47.3
"1960-03";4.6;12.6;17.4;11.5;13.6;20.8;12.8;21.3;10
"1960-04";7.8;8.8;27.8;10;19.2;41.7;14;20.3;10.7
"1960-05";15.8;7.5;47.9;5.7;10.6;20.2;9.6;16.1;10.7
"1960-06";12.3;3.4;14.5;13.8;46.3;36.4;15.3;40.6;35.2
"1960-07";2.1;19.3;54.4;7.2;21.3;46.6;16;39.8;11
"1960-08";8.5;2;10.5;6.7;9.5;3;4.6;2.7;3.7
"1960-09";5.6;4.7;27.1;6;24.9;35.8;11.8;20.4;7
"1960-10";5.2;4.5;41.6;4.4;16.6;45.3;14.2;18.2;10.4
"1960-11";7.1;10.2;22.9;12;20;27.9;8.7;22.6;18.3
"1960-12";20.1;33;32.3;6.3;47.4;43.6;10.6;51.6;11.5
"1961-01";37.7;10.7;30.1;5.3;23.8;29.1;14.6;25.1;15.5
"1961-02";9.9;15.9;11;7.8;19.4;34;12.4;25.1;16.8
"1961-03";7.8;6.4;20;5.8;26;43.4;11.2;34;14.8
"1961-04";4;6;36.7;4.6;8.9;29.6;7.5;32.3;7.8
"1961-05";5.5;8.7;29.7;3.7;16.3;32.2;5.6;45.5;15.4
"1961-06";26;11;38.3;12.3;8.5;19.6;5.7;47;10
"1961-07";10.2;16.1;6.7;20.2;8.6;12.3;11.4;12;4.6
"1961-08";13;17.8;20.7;25.7;33.7;39.2;12.5;25.6;9.3
"1961-09";37;14.4;42.8;36.5;14.2;24.8;13;17.5;11.2
"1961-10";12;6.2;31.2;29.5;12.9;49.4;8.4;40.1;9.9
"1961-11";31.3;19.6;18.8;10.2;20.1;37;15.9;32.2;22.1
"1961-12";4.2;6.7;35.2;9.5;11.4;18.9;20.1;16.1;8.2
"1962-01";18.5;16.6;28.3;3.6;17.3;28.8;17.6;18.6;15.8
"1962-02";14.5;6.8;7.2;5.5;22;28.2;12.9;30.6;27.6
"1962-03";6.1;9.1;4.2;5.4;3.4;3.3;1.2;4.1;2
"1962-04";12.5;5.6;11.1;3;29.9;111.3;22.5;31.7;23.1
"1962-05";4.5;1.9;27.7;3;8.3;15;6.3;18.4;5
"1962-06";64.2;42.3;45.2;7.7;13.6;46;14.5;24.3;5.2
"1962-07";12;14.6;5.4;11.5;23.7;29.9;7;18.4;11
"1962-08";2.5;5.9;52.7;13.4;9.4;36.7;10;18.2;5
"1962-09";13.1;9.1;33.7;5;29;26.4;18.4;36.4;15.7
"1962-10";10.8;18.4;27.3;7.2;17.6;31.6;20.2;27.7;13.5
"1962-11";6.3;4.6;25.3;6.1;29.3;14.7;14.3;27.7;22
"1962-12";10.5;14.9;29.1;4;16.6;33.7;16;33.5;42.8
"1963-01";14.8;1.7;2.5;;12.7;20.2;13.8;8.7;20.1
"1963-02";21.6;8.9;8.7;4.3;19.7;29.8;10.5;24.4;16
"1963-03";8.3;14.6;34.5;2.8;23.5;31.3;18.3;17.7;6
"1963-04";8.6;16.5;63.5;6.1;22.9;17;10.7;17.2;7.8
"1963-05";14;12.8;23.6;8;27.4;32.3;7;26.7;10
"1963-06";5.1;9.9;38.7;5.7;12.3;17.8;9.6;20.9;8.2
"1963-07";49.7;11.3;39.5;14;13.1;40.7;9.3;32.3;6.7
"1963-08";8.6;3.9;28.9;4.7;4.1;17.8;2.2;9.1;11
"1963-09";7.5;11.4;26.1;14;32.2;27.8;28.5;29;22
"1963-10";10.9;12.4;39.5;12.5;13.5;34.2;7.6;25.5;7.6
"1963-11";14.5;18.4;21.3;4;22.3;39.8;20.1;18.5;30.8
"1963-12";8.3;6.8;33;4.2;18.3;28;16.2;26.3;9.8
"1964-01";7.4;6.9;18.7;4.2;16;32;19.7;60.6;17.5
